iter	Passed	Remaining
0	22	2203
1	42	2074
2	63	2052
3	80	1943
4	105	2009
5	127	2002
6	149	1981
7	169	1946
8	189	1913
9	209	1881
10	228	1850
11	248	1820
12	266	1784
13	287	1764
14	306	1737
15	325	1710
16	347	1697
17	371	1691
18	391	1669
19	414	1658
20	441	1659
21	472	1673
22	494	1655
23	516	1635
24	538	1614
25	558	1590
26	580	1568
27	601	1545
28	620	1520
29	639	1491
30	658	1465
31	679	1443
32	699	1419
33	720	1397
34	740	1374
35	759	1350
36	793	1351
37	821	1340
38	840	1315
39	868	1303
40	888	1279
41	918	1268
42	946	1254
43	971	1236
44	994	1215
45	1017	1193
46	1041	1174
47	1063	1151
48	1086	1130
49	1110	1110
50	1133	1088
51	1159	1070
52	1184	1050
53	1220	1039
54	1245	1018
55	1269	997
56	1299	980
57	1321	957
58	1347	936
59	1365	910
60	1383	884
61	1402	859
62	1422	835
63	1441	810
64	1460	786
65	1479	762
66	1499	738
67	1519	714
68	1539	691
69	1558	667
70	1578	644
71	1596	620
72	1620	599
73	1643	577
74	1662	554
75	1680	530
76	1698	507
77	1718	484
78	1737	461
79	1757	439
80	1776	416
81	1794	393
82	1813	371
83	1831	348
84	1849	326
85	1871	304
86	1891	282
87	1911	260
88	1932	238
89	1956	217
90	1977	195
91	1997	173
92	2016	151
93	2032	129
94	2053	108
95	2072	86
96	2092	64
97	2109	43
98	2128	21
99	2148	0
